Id,SalePrice
2658,134037.05032808887
2718,152967.8228801409
2414,213541.84973538335
1989,120302.42556297494
625,196433.6055297283
333,76178.10200889333
1327,96903.88567674736
858,130288.82056275237
95,177093.84895089403
1568,174835.17735613108
2482,163002.62020583352
1364,132678.67125487368
2584,154197.30775662645
818,267240.16154703096
2673,176209.73026426783
2089,136783.75803065737
1297,147526.67406755983
790,110258.52618734905
2616,233577.50464777573
720,207306.0988034978
222,143799.32689024223
557,117962.27307583805
1148,198254.18464792188
2766,167828.42862620502
534,187137.4927359735
1452,103798.27899684798
630,111492.76092898095
2648,127797.77825020574
125,164156.18939480808
1904,17424.99258571997
1670,86224.08039691433
756,79844.8239637934
717,254751.74773973873
1032,149226.59683696827
852,228939.93756842957
1731,189422.76188573235
2639,115258.56476706587
2071,85385.51913037727
1267,120693.2892426615
1851,194467.7009987728
567,150304.09612763458
2439,218927.45889727742
1898,159559.9982214418
647,158581.6426775853
2256,235971.93926735892
979,107932.38435733266
1444,222841.67090027308
2485,122685.01636922656
157,131175.10309142567
88,115921.45528493816
2003,104944.50936552434
186,223624.1149141795
1425,261828.02702528302
2695,121811.93366736424
738,104801.51105851115
395,166068.60280576692
1353,173899.42655107536
1878,150058.35596450575
390,178778.86595613573
1456,236575.70759381348
1103,313508.4002047306
1387,127242.74521918286
2070,157094.69032511878
1199,181940.50293430028
2479,173842.67700115376
501,311342.52855737245
2362,83188.86664230673
1718,200316.9372287378
2188,73662.89917395095
1483,157719.10752278165
2557,79363.09852671943
437,310541.4548090072
2224,215301.3243665101
1628,188579.38079646503
397,129974.80821100104
587,209328.67584822065
971,176444.7686982692
2611,144313.31321890064
1887,71297.94123689638
2399,337360.9514502619
2148,211793.265899565
304,134178.44947202405
1997,116721.34389989002
2817,118065.79757958761
1431,197691.58365864417
427,305440.5314948083
263,120864.97256668605
598,179037.12752162287
2895,269636.4042332982
687,156708.36012043076
1822,122725.09116646432
2191,102155.08844137372
179,126615.77191422245
1009,215049.80980785
2010,120248.35463656991
1991,140261.84440956794
1411,208096.71797644458
1721,237270.9107097303
1144,192964.27567545505
593,227477.09327109827
575,295055.8691923804
1249,176466.69998487126
1604,122190.66394653585
1064,410065.37134499144
1923,149751.49137115938
1988,115934.27663372498
2325,173446.75712711475
114,198385.77847174037
2700,166956.5725562013
217,131410.19063677586
343,202150.2136987417
386,224378.39459572796
2005,126641.41644971276
2908,147699.68291118782
1814,229776.89509385423
2446,466448.4868115205
208,135985.6208838969
1679,127406.9474676486
822,318169.02691586775
6,198460.07668060594
1781,372579.90734461456
2397,293189.78758430755
2340,293046.42987192253
1618,164822.56361751904
2843,110394.741905539
1061,341902.1405261454
2786,108072.86215959786
1935,132098.15449981455
1341,116442.58758452156
521,280985.4906781979
2136,139239.5585489936
996,200992.10943907028
227,141018.4308432091
135,159278.06541025214
1167,177949.20056525356
294,223177.38203016267
1776,198364.8652590459
540,185283.0138603141
1717,200111.4413756327
2303,125837.85893207713
116,186407.37207446777
127,133184.7263576439
1371,140809.10230875312
1014,159896.01177472173
1507,122528.7469478554
702,139796.22140836454
750,165761.05062734796
261,139146.76343427174
1559,54728.49953507626
577,227151.95576629502
2812,206022.76937097724
2080,154525.75993715267
1368,136230.45554640976
2376,120721.29075839621
659,108612.28199129779
1235,126540.96484027937
332,72715.31722488411
1917,144496.07730426703
2094,253174.56493226736
1460,282011.59805175517
1471,216962.5279931393
1509,113038.5622501715
1922,130163.24795248098
433,417320.0797747587
460,264608.18838812335
1116,265621.63213194156
1137,177593.92942928005
53,181373.7905583679
2354,246252.54000946012
1475,200271.60355510068
1761,390974.28516936925
842,135635.355666598
2739,178373.1289433657
2509,160622.83791213593
1007,201691.27758211707
2610,195849.07789135276
1952,66077.54231451702
2719,157479.5592921108
2921,75301.42013734899
1966,125247.04937983834
292,119833.98110831989
1204,216213.01013353228
1829,262988.6243647709
2419,200476.91477453028
391,174439.65956757189
798,119565.83302693994
481,205934.59367505455
193,194601.5423655365
555,119158.28379839304
899,53219.246505913965
2357,216243.05867085973
328,128660.83840657579
1356,126821.71469916537
1154,80179.16091336677
1730,181101.6377371577
2249,171799.96885605803
1119,280382.8916803118
2856,124715.19703025295
1394,134595.70539422048
2587,128246.4347481592
61,304600.115681417
2661,197731.8420353706
2711,117754.71734499809
1147,188232.4989627995
757,131804.34693885053
2623,79074.20652761048
2378,152970.26291807852
1413,154983.20693981525
1722,230156.54031650553
1112,220704.17210239352
1623,201064.8341071207
1201,196597.0512292878
1513,99532.20660693845
957,403099.30744296586
1171,265259.13634014357
1145,197551.86299812392
2726,244753.11678336788
703,161960.9282736808
760,111915.92668429803
1964,127197.71950130997
2512,194517.84090467793
159,137010.4229783471
1281,190757.26168823865
468,175206.6388400031
290,136381.54490238632
665,96529.04077593767
1463,254293.23513583577
1792,230938.2608139703
923,145025.2726957376
500,286818.6848545621
1408,177408.33506456827
331,80356.69511032937
170,143210.34011603444
2192,76880.48601308063
2571,235560.7178810669
2314,178418.23965710396
2647,88754.9181307875
422,382567.23563678114
2457,325075.4869061368
1838,191253.37917574606
2805,250448.81989172864
1645,169121.12186593254
1711,290520.0969535731
2825,239220.6650257571
322,310131.120013006
2103,272425.01491341664
342,123603.86733128986
600,116001.0549743736
488,189536.09031512093
1725,289198.2728773872
2246,280614.2359128999
2847,159613.8448899432
806,241912.50549632584
530,224785.3780237962
963,198354.26089330175
2678,63224.08644647704
171,95126.42452970118
2401,378838.2953748488
805,238854.6949035222
2259,287107.63910903636
1748,204003.8973897767
1361,134958.7707649569
1677,138565.59347856854
1406,177238.91025522904
2322,239286.1137559099
688,175196.5668543346
143,133896.89651412418
804,226714.88997789397
1214,179222.47550435615
2828,166450.49664995883
1999,180949.39880861755
2467,193278.68103793258
2665,186965.60276998155
1538,361869.8833777592
398,111404.73637521494
2822,144520.30907607166
2157,158772.56786188734
1856,177296.4703405131
1269,106108.11007509095
2570,110961.89553659823
2320,248397.35005600093
1517,141401.01538311964
2304,122716.42319521372
1312,95629.25954809826
2012,129424.83950608823
506,226904.48980204895
2865,205886.5232521544
2367,125845.37692443671
554,102219.42352687352
238,129709.34774383268
1954,94292.76192638831
2488,153381.86476020486
2291,67622.95124403614
1969,98274.33724853111
2725,174356.93475248426
1482,157719.10752278165
2763,216806.35077937198
503,257120.72732314857
1584,252677.29797364556
1531,129299.82627388643
2210,160832.30437243072
459,298381.1117939003
556,138531.80922423274
1347,141620.02804869338
1290,63035.79691768874
1388,96137.20227861259
1571,313142.96638616914
2754,206673.2640893745
765,117081.1241622059
2494,107233.95324970823
2870,232045.50624527334
7,226971.91415855492
1114,251252.3529139603
2418,280281.68762704026
291,116211.27735837753
18,319442.56500794523
39,328291.01910755894
1001,245212.60556572018
2442,236166.61305249593
616,111417.72142508434
2680,60503.30897932564
1414,115306.34098488413
289,126145.03522571753
40,258441.81148836942
860,132694.22649698862
409,147783.99902593478
673,151950.6758599467
2427,185594.03687559156
2036,233052.3076803942
2564,140173.25189008046
642,159729.70574185852
1008,193793.9650541995
1908,150891.6130807916
2519,213566.96279160184
1369,112567.53888186131
2855,165836.44245252915
712,86144.94704324513
1943,123707.44080809428
1958,132978.56020872173
107,175144.903994454
2295,221543.3179145627
704,112551.3572707441
676,114972.85773799958
259,184732.9491732751
93,282243.95968952397
106,242315.43421118188
2315,188826.72710922867
1050,95740.59920793859
1095,215226.36761872
2709,149120.8705885121
758,173597.99924913765
1496,161104.15061780525
2370,137570.47819203272
2458,284514.50975864654
2733,126030.70252025494
161,285074.6391879392
726,172103.84237728565
845,211059.1699891509
947,257771.2647641452
2232,144579.3362610081
2563,151221.1619003503
2299,143936.69176255836
211,81484.7941670678
605,166704.32267226622
1478,211117.2817755681
2247,281444.6536862847
2274,229673.28022667923
2869,211531.90213183447
967,222866.02459490247
2656,100909.30911398487
667,216632.6249347701
1042,139715.83474498166
2023,169876.09917119256
2447,361259.92842852365
2055,130963.43927324441
2275,273943.32184932934
2204,159969.2137124596
1563,261800.10106947058
483,223334.68692707637
796,128405.04968546791
1526,152058.35905318585
2042,133035.88186387665
442,315610.31414295913
1693,297832.9768730648
1468,222109.03382154152
1430,198200.52677019447
2605,159797.81412288238
1529,202824.7316282724
335,144507.45702000236
1287,134526.74384066107
31,109370.2421050928
1785,299712.8781558782
82,193513.52907417616
2620,119794.16229575727
252,204458.60971533152
